"","gelir","egitim","skaler1","skaler2","skaler3","skaler4","skaler5","skaler6","grup1_ikili","grup2_ikili","grup3_ikili","grup4_ikili","grup1_uclu","grup2_uclu","grup3_uclu","grup4_uclu"
"30",81.707,"3",67.205,93.419,87.968,99.474,50.014,38.405,"2","1","2","1","3","3","1","3"
"31",34.248,"2",91.342,86.431,99.801,96.978,60.53,37.75,"2","1","2","2","3","2","3","2"
"32",63.561,"3",96.376,83.716,77.257,99.784,56.149,38.032,"1","2","1","1","3","3","2","2"
"33",43.01,"2",96.901,93.007,99.778,98.44,70.287,38.116,"1","2","2","1","3","3","3","2"
"34",32.217,"2",68.977,84.275,99.99,99.399,22.972,39.967,"1","2","1","1","3","2","3","2"
"35",37.722,"2",87.805,83.716,92.347,98.718,27.731,41.053,"2","2","2","1","2","2","2","3"
"36",80.344,"3",79.166,81.352,95.604,98.058,62.595,40.638,"2","2","1","1","3","3","1","1"
"37",80.364,"3",72.107,88.245,93.117,95.63,42.992,43.394,"1","1","2","1","1","1","2","1"
"38",69.545,"3",84.378,86.003,94.621,98.001,55.746,38.998,"2","1","2","1","3","3","2","2"
"39",17.981,"1",43.373,87.694,99.432,97.992,57.04,40.654,"2","1","1","2","3","3","2","2"
"40",57.313,"2",60.931,89.492,98.819,98.496,58.392,37.297,"1","1","1","1","3","3","1","2"
"41",43.67,"2",46.863,81.34,99.478,98.267,65.734,42.893,"2","1","1","1","1","3","2","1"
"42",52.367,"2",78.873,87.079,96.076,99.43,56.549,36.682,"1","1","1","1","1","2","1","3"
"43",26.854,"1",33.358,84.251,93.397,99.319,38.848,41.235,"2","1","2","1","2","3","2","1"
"44",19.376,"1",18.962,40.332,96.638,99.89,45.223,42.833,"1","2","1","1","2","1","2","1"
"45",64.358,"3",91.306,94.297,95.562,96.691,30.144,41.898,"2","1","1","1","3","3","1","2"
"46",85.314,"3",67.715,96.528,86.839,98.823,45.546,40.229,"1","1","1","1","3","3","1","2"
"47",23.303,"1",37.461,93.557,96.55,95.165,42.379,35.213,"2","1","1","2","3","1","3","2"
"48",86.646,"3",96.216,83.871,96.76,98.262,69.129,42.051,"1","2","1","1","3","1","2","1"
"49",32.231,"2",96.263,84.805,99.345,98.989,53.646,38.046,"1","2","2","1","3","2","3","2"
"50",78.316,"3",93.073,99.211,94.896,96.425,33.694,42.034,"1","1","2","1","3","2","3","1"
"51",25.152,"1",33.67,68.101,89.689,99.913,65.984,40.991,"1","2","1","2","3","2","1","1"
"52",95.359,"3",92.159,87.693,97.01,98.931,59.541,40.473,"1","2","1","1","1","3","2","1"
"53",26.621,"1",76.958,81.001,90.3,99.957,37.823,40.048,"2","1","1","1","2","3","1","2"
"54",10.021,"1",49.586,91.597,97.701,99.028,65.637,40.538,"2","1","1","1","2","2","2","1"
"55",52.531,"2",69.27,99.036,98.99,93.533,51.98,38.342,"2","1","1","1","3","2","1","2"
"56",44.47,"2",95.36,86.269,95.415,98.878,58.366,37.632,"2","1","2","1","3","2","1","1"
"57",96.474,"3",46.284,93.157,97.996,98.876,60.93,39.993,"2","1","2","1","3","2","2","2"
"58",68.48,"3",70.078,95.69,93.728,97.621,49.453,43.658,"1","1","2","1","3","2","1","2"
"59",59.121,"2",65.54,91.414,97.339,96.004,27.661,40.488,"1","1","1","1","3","2","2","1"
"60",25.692,"1",78.237,74.891,96.98,98.288,27.028,42.923,"2","1","2","2","2","3","2","2"
"61",74.126,"3",84.073,88.383,94.549,97.649,62.755,39.027,"1","1","1","1","1","1","1","2"
"62",67.277,"3",98.249,93.054,87.573,99.995,57.153,44.807,"1","2","1","1","3","2","3","2"
"63",55.162,"2",90.224,65.155,99.93,99.827,40.198,44.014,"2","1","1","1","3","3","2","2"
"64",88.229,"3",98.486,88.978,89.113,99.257,58.627,41.294,"1","2","2","1","3","2","1","1"
"65",13.651,"1",49.844,96.308,98.524,91.611,62.439,39.004,"2","1","2","1","3","1","3","2"
"66",41.367,"2",87.06,93.179,93.865,99.998,57.191,40.108,"2","1","2","1","2","3","3","3"
"67",40.138,"2",99.163,97.969,94.292,98.794,47.356,40.278,"2","2","2","1","1","3","1","1"
"68",37.361,"2",81.35,66.063,97.819,99.82,65.724,41.695,"2","2","1","1","3","1","2","2"
"69",92.188,"3",86.615,91.004,82.015,97.233,72.283,40.735,"2","1","1","1","1","2","2","1"
"70",50.054,"2",56.959,99.657,94.769,95.602,38.447,39.037,"2","1","2","1","3","3","3","1"
"71",48.471,"2",97.64,88.163,97.39,99.042,78.411,41.084,"1","1","1","1","3","1","3","1"
"72",59.471,"2",63.84,78.342,97.317,99.862,72.883,41.439,"2","1","2","1","3","2","2","2"
"73",23.503,"1",67.696,99.985,96.582,99.828,57.258,38.687,"1","2","2","1","3","2","2","1"
"74",30.417,"2",40.62,95.071,96.28,95.257,25.348,38.948,"1","2","2","1","3","2","2","3"
"75",28.514,"1",79.323,91.577,94.437,99.784,53.343,37.745,"1","1","1","1","3","3","2","2"
"76",71.236,"3",98.518,80.707,99.291,97.368,42.118,43.011,"1","1","1","1","2","3","1","3"
"77",42.255,"2",92.013,94.997,98.609,97.668,83.203,37.568,"2","1","1","1","3","3","3","1"
"78",15.506,"1",28.109,69.747,94.815,99.427,60.929,43.512,"1","1","1","1","3","2","3","2"
"79",76.064,"3",31.95,96.349,93.48,99.917,86.893,40.093,"1","1","2","1","3","1","2","1"
"80",67.005,"3",99.058,96.747,95.269,99.163,28.662,38.772,"2","2","1","2","3","2","1","1"
"81",55.855,"2",99.083,87.968,82.981,97.576,73.721,38.517,"1","1","2","1","3","3","3","2"
"82",22.98,"1",94.273,73.486,98.835,99.118,43.398,37.75,"1","1","1","1","3","2","2","1"
"83",12.003,"1",94.712,88.908,99.948,99.758,36.426,35.505,"2","1","1","1","3","2","2","2"
"84",49.15,"2",83.123,99.329,96.031,95.193,42.704,37.76,"1","2","1","1","3","2","2","1"
"85",28.586,"1",67.684,85.82,97.522,97.766,26.375,41.602,"1","2","2","1","2","2","3","2"
"86",17.462,"1",57.357,75.764,92.519,99.782,63.316,42.031,"2","1","2","1","3","1","3","2"
"87",26.055,"1",44.761,77.01,93.99,99.067,3.114,40.134,"1","1","1","1","3","2","1","1"
"88",25.768,"1",99.086,91.628,97.324,98.519,55.928,41.154,"2","1","2","1","1","1","1","1"
"89",45.544,"2",78.953,93.826,94.835,98.741,65.43,42.033,"1","1","2","1","1","3","2","1"
"90",13.917,"1",61.73,79.794,94.987,99.971,36.263,40.107,"2","1","1","2","3","1","2","2"
"91",19.216,"1",79.962,89.049,94.496,99.601,56.885,39.614,"1","1","1","2","3","3","3","2"
"92",84.913,"3",76.852,93.788,89.636,99.143,28.964,39.875,"1","2","1","1","2","3","2","2"
"93",22.58,"1",55.938,90.641,92.63,98.911,53.428,41.61,"1","1","1","1","3","1","3","3"
"94",83.927,"3",85.671,80.096,96.845,99.401,43.867,41.587,"2","1","1","1","3","3","2","2"
"95",56.328,"2",61.22,96.372,94.081,97.974,86.933,38.458,"1","1","2","2","3","2","1","2"
"96",24.727,"1",45.333,93.016,97.029,96.147,36.447,39.087,"2","2","2","1","3","3","2","1"
"97",43.705,"2",42.922,94.932,98.519,96.579,31.791,39.323,"2","2","1","2","3","3","1","1"
"98",11.781,"1",83.158,59.408,94.716,98.289,59.557,40.717,"1","1","1","1","2","2","3","2"
"99",89.908,"3",96.602,81.778,91.705,96.425,21.029,38.257,"1","1","1","1","2","3","2","2"
"100",48.312,"2",85.791,92.708,80.25,98.728,62.723,39.593,"2","2","2","2","3","3","2","1"
